"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "SCSS", "XML", "wxml", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\badge\type.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\behaviors\dom.d.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\behaviors\dom.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\behaviors\touch.d.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\behaviors\touch.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button-group\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 31, 1, 15, 47
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button-group\button-group.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button-group\button-group.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button-group\button-group.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button-group\button-group.wxml", "wxml", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button-group\button-group.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 46, 0, 1, 1, 48
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 18, 89
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button\button.d.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button\button.js", "JavaScript", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 1, 90
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button\button.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button\button.wxml", "wxml", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 1, 59
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button\button.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 247, 0, 1, 1, 249
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button\index.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button\index.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button\props.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button\props.js", "JavaScript", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 1, 102
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button\type.d.ts", "TypeScript", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 1, 109
